#IP, domain
94.140.15.15, dns.adguard.com
94.140.15.14, dns.adguard.com
2a10:50c0::ad1:ff, dns.adguard.com
2a10:50c0::ad2:ff, dns.adguard.com
94.140.14.15, dns-family.adguard.com
94.140.15.16, dns-family.adguard.com
2a10:50c0::bad1:ff, dns-family.adguard.com
2a10:50c0::bad2:ff, dns-family.adguard.com
94.140.14.140, dns-unfiltered.adguard.com
94.140.14.141, dns-unfiltered.adguard.com
2a10:50c0::1:ff, dns-unfiltered.adguard.com
2a10:50c0::2:ff, dns-unfiltered.adguard.com
185.228.168.168, family-filter-dns.cleanbrowsing.org
185.228.169.168, family-filter-dns.cleanbrowsing.org
2a0d:2a00:1::, family-filter-dns.cleanbrowsing.org
2a0d:2a00:2::, family-filter-dns.cleanbrowsing.org
185.228.168.10, adult-filter-dns.cleanbrowsing.org	
185.228.169.11, adult-filter-dns.cleanbrowsing.org	
2a0d:2a00:1::1, adult-filter-dns.cleanbrowsing.org	
2a0d:2a00:2::1, adult-filter-dns.cleanbrowsing.org	
185.228.168.9, security-filter-dns.cleanbrowsing.org
185.228.169.9, security-filter-dns.cleanbrowsing.org
2a0d:2a00:1::2, security-filter-dns.cleanbrowsing.org
2a0d:2a00:2::2, security-filter-dns.cleanbrowsing.org
1.1.1.1, one.one.one.one
1.0.0.1, 1dot1dot1dot1.cloudflare-dns.com
2606:4700:4700::1111, one.one.one.one
2606:4700:4700::1001, 1dot1dot1dot1.cloudflare-dns.com
2606:4700:4700::64, dns64.cloudflare-dns.com
2606:4700:4700::6400, dns64.cloudflare-dns.com
2606:4700:4700::1112, security.cloudflare-dns.com
1.1.1.2, security.cloudflare-dns.com
1.0.0.2, security.cloudflare-dns.com
2606:4700:4700::1002, security.cloudflare-dns.com
1.1.1.3, family.cloudflare-dns.com	
1.0.0.3, family.cloudflare-dns.com	
2606:4700:4700::1113, family.cloudflare-dns.com	
2606:4700:4700::1003, family.cloudflare-dns.com	
8.8.8.8, dns.google, google-public-dns-a.google.com
2001:4860:4860::8888, dns.google, google-public-dns-a.google.com
8.8.4.4, dns.google, google-public-dns-b.google.com	
2001:4860:4860::8844, dns.google, google-public-dns-b.google.com	
2001:4860:4860::6464, dns64.dns.google	
2001:4860:4860::64, dns64.dns.google
208.67.222.222, dns.opendns.com	
208.67.220.220, dns.opendns.com	
2620:119:35::35, dns.opendns.com	
2620:119:53::53, dns.opendns.com	
208.67.222.123, familyshield.opendns.com
208.67.220.123, familyshield.opendns.com
2620:119:35::123, familyshield.opendns.com
2620:119:53::123, familyshield.opendns.com
208.67.222.2, sandbox.opendns.com
208.67.220.2, sandbox.opendns.com
2620:0:ccc::2, sandbox.opendns.com
2620:0:ccd::2, sandbox.opendns.com
146.112.41.2, doh.opendns.com
2620:119:fc::2, doh.opendns.com
185.121.177.177, anyone.anyqa.st
169.239.202.202, anyone.anyqa.st
2a05:dfc7:5::53, anyone.dnsrec.meo.ws
2a05:dfc7:5::5353, anyone.dnsrec.meo.ws
9.9.9.9, ns.quad9.net, dns9.quad9.net
149.112.112.112, dns.quad9.net, rpz-public-resolver1.rrdns.pch.net	
149.112.112.10, dns10.quad9.net
2620:fe::fe, dns.quad9.net
2620:fe::9, dns.quad9.net
9.9.9.10, dns10.quad9.net
2620:fe::fe:10, dns10.quad9.net
2620:fe::10, dns10.quad9.net
149.112.112.11, dns11.quad9.net
9.9.9.11, dns11.quad9.net
2620:fe::11, dns11.quad9.net
2620:fe::fe:11, dns11.quad9.net
149.112.112.10, 2620:fe::fe:10	
2620:fe::10, 2620:fe::fe:10	
2620:fe::fe:10, 2620:fe::fe:10	
142.93.148.79, ns5.ca.dns.opennic.glue
198.50.135.212, ns8.ca.dns.opennic.glue
51.254.25.115, ns1.pra.cz.dns.opennic.glue
94.16.114.254, ns9.de.dns.opennic.glue, ns28.de.dns.opennic.glue, ns32.de.dns.opennic.glue, ns8.he.de.dns.opennic.glue
144.76.157.242, ns3.fr.dns.opennic.glue
87.98.175.85, ns10.fr.dns.opennic.glue
185.112.147.95, ns1.is.dns.opennic.glue
217.169.20.23, dns.aa.net.uk
217.169.20.22, dns.aa.net.uk
168.235.81.167, dns-nyc.aaflalo.me
223.5.5.5, dns.alidns.com
223.6.6.6, dns.alidns.com
217.169.20.22, dns.aa.net.uk
217.169.20.23, dns.aa.net.uk
2001:8b0::2023, dns.aa.net.uk
2001:8b0::2022, dns.aa.net.uk
185.253.154.66, dnses.alekberg.net
51.15.124.208, dnsnl.alekberg.net
2001:bc8:1830:2018::1, dnsnl.alekberg.net
45.153.187.96, dnsse.alekberg.net
2a09:cd42:f:425b::1, dnsse.alekberg.net
35.245.234.132, example.doh.blockerdns.com
35.230.160.38, example.doh.blockerdns.com
35.231.247.227, example.doh.blockerdns.com
35.237.220.84, example.doh.blockerdns.com
149.112.122.10, private.canadianshield.cira.ca
149.112.121.10, private.canadianshield.cira.ca
2620:10a:80bb::10, private.canadianshield.cira.ca
2620:10a:80bc::10, private.canadianshield.cira.ca
149.112.122.20, protected.canadianshield.cira.ca
149.112.121.20, protected.canadianshield.cira.ca
2620:10a:80bb::20, protected.canadianshield.cira.ca
2620:10a:80bc::20, protected.canadianshield.cira.ca
149.112.122.30, family.canadianshield.cira.ca
149.112.121.30, family.canadianshield.cira.ca
2620:10a:80bb::30, family.canadianshield.cira.ca
2620:10a:80bc::30, family.canadianshield.cira.ca
146.112.41.3, doh.familyshield.opendns.com
2620:119:fc::3, doh.familyshield.opendns.com
185.228.168.168, doh.cleanbrowsing.org
185.228.168.10, doh.cleanbrowsing.org
104.16.249.249, cloudflare-dns.com
104.16.248.249, cloudflare-dns.com
2606:4700::6810:f8f9, cloudflare-dns.com
2606:4700::6810:f9f9, cloudflare-dns.com
104.16.249.249, mozilla.cloudflare-dns.com
104.16.248.249, mozilla.cloudflare-dns.com
2606:4700::6810:f8f9, mozilla.cloudflare-dns.com
2606:4700::6810:f9f9, mozilla.cloudflare-dns.com
75.75.77.99, doh.xfinity.com
2001:558:feed:443::99, doh.xfinity.com
45.77.180.10, dns.containerpi.com
185.43.135.1, odvr.nic.cz
193.17.47.1, odvr.nic.cz
2001:148f:ffff::1, odvr.nic.cz
2001:148f:fffe::1, odvr.nic.cz
185.95.218.42, dns.digitale-gesellschaft.ch
185.95.218.43, dns.digitale-gesellschaft.ch
2a05:fc84::43, dns.digitale-gesellschaft.ch
2a05:fc84::42, dns.digitale-gesellschaft.ch
